"","week.day","hour","Leeds.trains","Leeds.av.delay","Sheffield.trains","Sheffield.av.delay","Nottingham.trains","Nottingham.av.delay","arrival.to","arrival.time","arrival.schedule","delay.secs","train_code"
"1","Wednesday",7,34,0,20,0,11,0,"NTNG",NA,"07:58:00",NA,"1Y05"
"11","Wednesday",9,44,0,23,1,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"12","Wednesday",11,37,0.5,22,1,14,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"13","Wednesday",19,38,6.5,23,3.5,12,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"14","Thursday",13,40,0,24,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"15","Thursday",17,43,0.5,21,0,15,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"16","Thursday",20,41,1,20,0,11,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"17","Friday",10,42,0,24,0,14,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"18","Sunday",13,26,0,16,2,5,1,"NTNG",NA,"13:58:00",NA,"1Y29"
"19","Sunday",17,26,0,17,0,9,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"110","Monday",17,44,0,22,1,15,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"111","Monday",20,39,1,19,0,10,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"112","Tuesday",13,41,0,24,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"113","Tuesday",15,36,0.5,24,0,14,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"114","Wednesday",16,38,0,21,0,14,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"115","Wednesday",18,44,0,22,0,14,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"116","Thursday",11,40,1.5,21,0,14,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"117","Thursday",12,41,0,22,0.25,13,0,"NTNG",NA,"12:58:00",NA,"1Y25"
"118","Thursday",16,39,0.5,20,0.75,14,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"119","Friday",8,40,0,18,0,13,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"120","Friday",13,40,0,24,0.5,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"121","Friday",14,40,0.25,22,0.75,13,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"122","Sunday",11,25,0,8,0,4,1,"NTNG",NA,"11:58:00",NA,"1Y21"
"123","Sunday",15,26,0,15,0,7,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"124","Monday",12,36,0.25,23,0,14,0,"NTNG",NA,"12:58:00",NA,"1Y25"
"125","Monday",17,46,0,23,0,15,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"126","Tuesday",10,40,0,23,0,14,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"127","Tuesday",13,41,0,23,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"128","Tuesday",19,40,0.5,22,0,14,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"129","Wednesday",15,38,0,24,0,14,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"130","Wednesday",20,36,0,20,0.25,11,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"131","Thursday",7,32,0,17,0,11,0,"NTNG",NA,"07:58:00",NA,"1Y05"
"132","Thursday",10,42,0,25,0,14,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"133","Thursday",11,38,0.5,21,0,13,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"134","Friday",13,40,0,24,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"135","Friday",18,46,0,21,1,12,0.25,"NTNG",NA,"18:58:00",NA,"1Y49"
"136","Saturday",9,42,0,24,0,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"137","Saturday",14,38,0,22,2,14,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"138","Saturday",18,40,0,25,0,12,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"139","Monday",15,40,2.25,20,0.75,14,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"140","Tuesday",10,40,0,22,0,14,0.25,"NTNG",NA,"10:58:00",NA,"1Y17"
"141","Wednesday",11,39,0,21,0,13,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"142","Wednesday",14,36,0,22,0,14,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"143","Friday",13,39,0,28,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"144","Friday",15,41,0.5,21,0,14,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"145","Friday",18,42,0.5,24,0.25,14,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"146","Friday",20,37,1.5,21,0,11,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"147","Saturday",8,37,0,20,0,11,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"148","Saturday",11,38,0,22,1.25,13,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"149","Monday",8,39,0,21,0,13,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"150","Monday",13,41,0,23,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"151","Monday",17,46,0,24,0,15,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"152","Tuesday",8,36,0.25,21,0,11,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"153","Tuesday",12,41,0,23,0,12,0,"NTNG",NA,"12:58:00",NA,"1Y25"
"154","Tuesday",15,37,0,23,0.5,13,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"155","Tuesday",18,45,0,25,0,14,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"156","Tuesday",19,43,0,22,1.75,13,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"157","Wednesday",11,39,0,22,0,14,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"158","Wednesday",13,40,0,24,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"159","Wednesday",17,46,0,24,0,15,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"160","Wednesday",19,41,1,26,1,14,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"161","Thursday",10,35,0,23,0,14,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"162","Thursday",13,39,0,23,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"163","Thursday",18,42,0,23,0,15,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"164","Friday",19,41,0,20,0.5,12,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"165","Friday",20,33,1,26,1.5,11,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"166","Saturday",8,36,0,19,0,11,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"167","Saturday",16,38,1.5,23,0.5,11,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"168","Monday",15,38,0,24,1.5,14,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"169","Monday",16,37,0,23,1.5,14,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"170","Monday",19,42,0.25,23,1.5,14,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"171","Tuesday",11,42,0.25,19,0,14,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"172","Tuesday",14,40,0,22,0,14,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"173","Wednesday",14,36,0.5,21,0.5,14,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"174","Wednesday",18,48,0,22,0.25,14,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"175","Friday",9,40,0,22,0.5,14,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"176","Saturday",15,38,0,26,6.75,14,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"177","Sunday",10,22,0,6,0,6,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"178","Sunday",12,23,0,9,0,6,0,"NTNG",NA,"12:58:00",NA,"1Y25"
"179","Sunday",18,27,0,12,0,7,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"180","Monday",12,42,1,23,1,14,0,"NTNG",NA,"12:58:00",NA,"1Y25"
"181","Monday",13,39,0,22,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"182","Monday",19,42,0.75,23,0,13,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"183","Monday",20,39,0,19,3.5,11,1,"NTNG",NA,"20:58:00",NA,"1Y57"
"184","Tuesday",10,38,0,24,0,14,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"185","Wednesday",13,40,0,25,1,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"186","Wednesday",15,34,0,25,0.5,14,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"187","Thursday",15,36,0,23,0,13,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"188","Thursday",20,39,0,24,3,9,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"189","Friday",12,37,0,20,0,14,0,"NTNG",NA,"12:58:00",NA,"1Y25"
"190","Friday",13,42,0,22,0.25,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"191","Sunday",14,23,0,14,0,8,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"192","Sunday",15,26,0,13,0,6,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"193","Monday",11,41,0,22,0,14,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"194","Monday",13,39,0.5,25,2,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"195","Monday",14,40,0,24,0,14,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"196","Tuesday",7,30,0,18,0,11,0,"NTNG",NA,"07:58:00",NA,"1Y05"
"197","Tuesday",9,42,0,19,0,12,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"198","Tuesday",17,42,0.5,22,0,15,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"199","Wednesday",18,43,0,22,0.25,14,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1100","Thursday",7,31,0,19,0,11,0,"NTNG",NA,"07:58:00",NA,"1Y05"
"1101","Thursday",8,40,0,18,0,14,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1102","Thursday",15,39,0,23,1.5,14,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1103","Thursday",17,45,0,22,0,15,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"1104","Saturday",9,40,0,23,0,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1105","Saturday",11,42,0,20,0,13,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"1106","Sunday",13,21,0,13,0,5,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1107","Sunday",14,23,0.5,15,0,8,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1108","Sunday",15,26,0,15,0,7,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1109","Tuesday",8,37,0,19,0,14,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1110","Tuesday",14,36,0,24,1,13,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1111","Tuesday",19,42,1,25,0,13,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1112","Wednesday",9,43,0.5,21,0.5,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1113","Wednesday",10,39,0,22,0,14,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"1114","Wednesday",11,40,1,22,1.25,14,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"1115","Thursday",10,41,0,22,1.5,14,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"1116","Thursday",18,49,0.5,23,0,14,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1117","Friday",11,38,0,23,0.5,14,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"1118","Friday",17,44,1.5,23,0,15,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"1119","Saturday",11,37,0,23,0,13,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"1120","Saturday",12,35,0.5,22,0,13,0,"NTNG",NA,"12:58:00",NA,"1Y25"
"1121","Saturday",13,39,0,26,0,13,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1122","Saturday",16,36,0.5,20,0,12,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"1123","Monday",11,39,0,23,0,14,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"1124","Monday",13,39,0,23,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1125","Monday",20,39,0,22,0.5,10,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1126","Tuesday",7,32,0,16,0,11,0,"NTNG",NA,"07:58:00",NA,"1Y05"
"1127","Tuesday",8,40,0,23,0,13,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1128","Tuesday",15,39,0,21,0,14,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1129","Wednesday",11,41,0.5,23,0,14,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"1130","Wednesday",13,41,0,22,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1131","Wednesday",18,45,0,24,0,14,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1132","Thursday",10,41,0,20,0,14,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"1133","Thursday",13,40,0,26,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1134","Thursday",15,37,0,23,0.5,14,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1135","Friday",7,31,0,18,0,11,0,"NTNG",NA,"07:58:00",NA,"1Y05"
"1136","Friday",9,44,0.25,23,0,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1137","Friday",12,40,0,23,0,14,0,"NTNG",NA,"12:58:00",NA,"1Y25"
"1138","Friday",20,36,0.75,20,0,10,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1139","Saturday",16,34,0,22,0,13,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"1140","Saturday",18,38,0,24,0,13,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1141","Sunday",11,25,0,12,0,3,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"1142","Sunday",13,24,0.25,15,0,4,0.25,"NTNG",NA,"13:58:00",NA,"1Y29"
"1143","Sunday",15,25,0,17,0,7,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1144","Sunday",18,25,0,19,0,5,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1145","Sunday",20,25,0,18,0,6,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1146","Monday",8,41,0.5,21,0,13,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1147","Monday",9,42,0,23,0,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1148","Monday",13,44,0.5,20,1.25,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1149","Monday",16,38,0,20,0,14,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"1150","Monday",17,42,0,24,2,15,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"1151","Tuesday",7,31,0,19,0,11,0,"NTNG",NA,"07:58:00",NA,"1Y05"
"1152","Tuesday",8,39,0,21,0,14,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1153","Wednesday",7,33,0,17,0,11,0,"NTNG",NA,"07:58:00",NA,"1Y05"
"1154","Wednesday",8,37,0,21,0,14,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1155","Wednesday",9,43,0,24,0.25,11,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1156","Wednesday",13,42,0.5,23,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1157","Wednesday",17,42,0,22,0.5,15,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"1158","Wednesday",19,43,0,22,0,14,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1159","Thursday",9,46,0.75,21,0,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1160","Thursday",12,38,0,23,1,14,0,"NTNG",NA,"12:58:00",NA,"1Y25"
"1161","Thursday",19,44,0.75,24,1.75,13,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1162","Thursday",20,41,0,20,0.25,11,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1163","Friday",7,31,0,18,0,11,0,"NTNG",NA,"07:58:00",NA,"1Y05"
"1164","Friday",8,39,0,19,0,13,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1165","Friday",9,43,0,23,0,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1166","Friday",16,37,0,22,0,14,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"1167","Friday",19,44,1.5,29,2,12,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1168","Saturday",11,38,0,22,0,13,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"1169","Saturday",20,34,0,21,0,11,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1170","Sunday",20,23,0,19,0,6,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1171","Monday",13,42,0.25,22,0.5,13,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1172","Monday",16,39,0.5,20,1.5,12,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"1173","Monday",18,43,0,21,0,15,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1174","Tuesday",14,39,0,24,0,14,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1175","Wednesday",10,39,0,24,0,13,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"1176","Wednesday",14,41,0,22,1.5,14,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1177","Thursday",10,37,0,24,0,12,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"1178","Thursday",13,42,0,24,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1179","Thursday",16,40,0,23,0,14,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"1180","Friday",19,44,0,23,1,14,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1181","Saturday",8,34,0,20,0,11,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1182","Saturday",9,38,0,24,0,12,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1183","Saturday",15,37,0,23,0.5,13,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1184","Sunday",10,23,0,8,0,5,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"1185","Sunday",14,23,0,17,0,7,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1186","Sunday",15,27,0,17,0,7,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1187","Monday",18,44,0,23,0,13,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1188","Tuesday",9,42,0.25,21,3,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1189","Wednesday",11,39,0.5,22,1,14,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"1190","Wednesday",13,40,0.5,24,1,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1191","Thursday",8,39,0.5,20,0,12,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1192","Thursday",13,43,2.5,27,2.5,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1193","Friday",9,41,1,24,0,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1194","Friday",12,38,0,21,1.5,14,0,"NTNG",NA,"12:58:00",NA,"1Y25"
"1195","Saturday",9,41,0,25,0.5,12,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1196","Sunday",13,25,0,15,1.5,5,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1197","Sunday",18,31,0,18,0,8,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1198","Monday",10,42,2.5,24,0,11,3,"NTNG",NA,"10:58:00",NA,"1Y17"
"1199","Monday",12,41,0.5,23,2,14,0,"NTNG",NA,"12:58:00",NA,"1Y25"
"1200","Monday",15,36,0,23,0,14,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1201","Monday",19,41,1.5,26,0.25,12,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1202","Wednesday",18,47,0,24,0,13,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1203","Thursday",17,43,0,20,0,15,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"1204","Friday",7,30,0,16,0,11,0,"NTNG",NA,"07:58:00",NA,"1Y05"
"1205","Friday",18,44,0,23,1,14,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1206","Saturday",8,35,0,20,0,12,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1207","Saturday",14,36,0,23,0,13,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1208","Saturday",15,39,0,21,0,13,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1209","Saturday",16,33,0,22,0.5,13,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"1210","Saturday",17,37,0,24,0,13,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"1211","Sunday",14,24,0,16,0,7,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1212","Sunday",17,26,0,19,0,9,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"1213","Monday",7,30,0,16,0,12,0.75,"NTNG",NA,"07:58:00",NA,"1Y05"
"1214","Monday",12,40,0,23,2,14,0,"NTNG",NA,"12:58:00",NA,"1Y25"
"1215","Monday",14,39,0.5,24,1.75,14,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1216","Monday",19,42,0.25,20,0,13,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1217","Tuesday",7,31,0,17,0,11,0,"NTNG",NA,"07:58:00",NA,"1Y05"
"1218","Tuesday",8,38,0,22,0,13,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1219","Tuesday",9,42,0.5,23,0,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1220","Tuesday",10,38,0,24,0,13,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"1221","Wednesday",10,39,0,26,0,13,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"1222","Thursday",9,43,1,22,1,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1223","Thursday",11,40,0,21,0,14,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"1224","Thursday",13,38,0,25,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1225","Thursday",14,42,0,24,0,14,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1226","Thursday",15,37,0,21,0,14,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1227","Thursday",19,41,0,24,0,13,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1228","Thursday",20,37,1,22,0,11,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1229","Friday",8,41,0,21,0.5,13,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1230","Friday",9,41,0,19,0,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1231","Friday",15,37,0,19,3,12,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1232","Saturday",8,33,0,20,0,11,0,"NTNG",NA,"08:58:00",NA,"1Y09"
